"dataset","model","sampling","balanced_acc","balanced_acc_sd","roc","roc_sd","sens_cv","spec_cv","ppv_cv","npv_cv","optimal_threshold","sens_at_optimal","spec_at_optimal","brier_score","alpha","lambda","n.trees","interaction.depth","shrinkage","n.minobsinnode","nrounds","max_depth","eta","gamma","colsample_bytree","min_child_weight","subsample","sigma","C","mtry"
"data_28","svmRadial","rose",0.909361782853162,0.0543078561674029,0.968238252066762,0.0216717393748368,0.891666666666667,0.927056899039658,0.290217018393084,0.996309692340848,0.378386731397581,0.907727797001153,0.927927927927928,0.0563957045427225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.5,NA
"data_28","rf","none",0.694384112056526,0.0887384919625137,0.952072448624173,0.0453179209188838,0.395833333333333,0.992934890779718,0.687764550264551,0.980937943908596,0.037,0.885524798154556,0.918918918918919,0.0194305185806091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25
"data_28","rf","up",0.663002873563218,0.0709411049535404,0.947104906160479,0.0325339828401074,0.338690476190476,0.987315270935961,0.517264957264957,0.979016312256783,0.061,0.909602076124567,0.869369369369369,0.0234388706342554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20
"data_28","rf","down",0.901433049708912,0.0449987369404297,0.961793549054941,0.0205110485443838,0.923809523809524,0.8790565756083,0.201633357491187,0.997270993746817,0.463,0.864186851211073,0.945945945945946,0.0854216451522772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"data_28","rf","smote",0.758235370950888,0.0976003792997595,0.956202023978348,0.0266027293749314,0.538095238095238,0.978375503806538,0.456736966736967,0.985076626327992,0.125,0.883794694348328,0.936936936936937,0.025749239452361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"data_28","rf","rose",0.899110252774046,0.0385647547846443,0.963299570742613,0.0240810819679979,0.945833333333333,0.852387172214758,0.172927791517007,0.997985486847461,0.627,0.896049596309112,0.936936936936937,0.12271248505169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"data_30","glmnet","none",0.775235130491435,0.0870011682900851,0.977392169981647,0.0214455976510844,0.555357142857143,0.995113118125727,0.834285714285714,0.984760837121223,0.0431594192549417,0.934278959810875,0.922374429223744,0.0154907927202508,0.5,0.00206913808111479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"data_30","glmnet","up",0.930356743654271,0.0430647341683128,0.973382323509749,0.0251743808023439,0.922023809523809,0.938689677784733,0.350892361157336,0.99716342582209,0.510410710180813,0.940425531914894,0.922374429223744,0.0519055652013642,0.25,0.00695192796177561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"data_30","glmnet","down",0.918824278347662,0.042884257019001,0.966933813228412,0.026692568526028,0.930952380952381,0.906696175742943,0.263558901577878,0.99741977366399,0.530727234596741,0.911741528762805,0.931506849315068,0.0715926360699178,0.75,0.0127427498570313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"data_30","glmnet","smote",0.928639186605519,0.0420061131664542,0.973353647436798,0.0240698261701927,0.921428571428571,0.935849801782467,0.339484178584461,0.997163688719269,0.480595984910571,0.932072498029945,0.926940639269406,0.0513246129580072,0.5,0.0233572146909012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
