bbrefID,mlbamID,name,team,pos,headshot_url,is_active
severlu01,622663,Luis Severino,Athletics,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/622663/headshot/67/current",True
leitema02,643410,Mark Leiter Jr.,Athletics,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/643410/headshot/67/current",True
barnema02,686930,Mason Barnett,Athletics,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/686930/headshot/67/current",True
muncyma02,691777,Max Muncy,Athletics,3B,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/691777/headshot/67/current",True
schuema01,680474,Max Schuemann,Athletics,3B,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/680474/headshot/67/current",True
kellymi03,547184,Michael Kelly,Athletics,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/547184/headshot/67/current",True
spencmi01,687765,Mitch Spence,Athletics,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/687765/headshot/67/current",True
kurtzni01,701762,Nick Kurtz,Athletics,1B,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/701762/headshot/67/current",True
langesh01,669127,Shea Langeliers,Athletics,C,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/669127/headshot/67/current",True
ferguty01,621053,Tyler Ferguson,Athletics,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/621053/headshot/67/current",True
soderty01,691016,Tyler Soderstrom,Athletics,LF,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/691016/headshot/67/current",True
gelofza01,680869,Zack Gelof,Athletics,2B,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/680869/headshot/67/current",True
smithaj01,700363,AJ Smith-Shawver,Atlanta Braves,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/700363/headshot/67/current",True
bummeaa01,607481,Aaron Bummer,Atlanta Braves,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/607481/headshot/67/current",True
molinan01,683627,Anthony Molina,Atlanta Braves,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/683627/headshot/67/current",True
rileyau01,663586,Austin Riley,Atlanta Braves,3B,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/663586/headshot/67/current",True
wiselbr01,689172,Brett Wisely,Atlanta Braves,2B,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/689172/headshot/67/current",True
elderbr01,693821,Bryce Elder,Atlanta Braves,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/693821/headshot/67/current",True
salech01,519242,Chris Sale,Atlanta Braves,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/519242/headshot/67/current",True
