bbrefID,mlbamID,name,team,pos,headshot_url
lynchda02,663738,Daniel Lynch IV,Kansas City Royals,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/663738/headshot/67/current"
waterdr01,671221,Drew Waters,Kansas City Royals,LF,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/671221/headshot/67/current"
,672021,Eric Cerantola,Kansas City Royals,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/672021/headshot/67/current"
colliis01,686555,Isaac Collins,Kansas City Royals,LF,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/686555/headshot/67/current"
caglija01,695506,Jac Caglianone,Kansas City Royals,RF,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/695506/headshot/67/current"
mcartja01,663704,James McArthur,Kansas City Royals,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/663704/headshot/67/current"
ravejo01,670231,John Rave,Kansas City Royals,RF,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/670231/headshot/67/current"
schrejo01,670167,John Schreiber,Kansas City Royals,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/670167/headshot/67/current"
bowlajo01,680742,Jonathan Bowlan,Kansas City Royals,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/680742/headshot/67/current"
indiajo01,663697,Jonathan India,Kansas City Royals,2B,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/663697/headshot/67/current"
misneka01,670224,Kameron Misner,Kansas City Royals,CF,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/670224/headshot/67/current"
bubickr01,663460,Kris Bubic,Kansas City Royals,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/663460/headshot/67/current"
isbelky01,664728,Kyle Isbel,Kansas City Royals,CF,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/664728/headshot/67/current"
erceglu01,668674,Lucas Erceg,Kansas City Royals,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/668674/headshot/67/current"
avilalu02,679883,Luinder Avila,Kansas City Royals,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/679883/headshot/67/current"
garcima01,672580,Maikel Garcia,Kansas City Royals,3B,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/672580/headshot/67/current"
blackma01,696131,Mason Black,Kansas City Royals,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/696131/headshot/67/current"
massemi02,686681,Michael Massey,Kansas City Royals,2B,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/686681/headshot/67/current"
wachami01,608379,Michael Wacha,Kansas City Royals,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/608379/headshot/67/current"
loftini01,679845,Nick Loftin,Kansas City Royals,LF,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/679845/headshot/67/current"
mearsni01,683232,Nick Mears,Kansas City Royals,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/683232/headshot/67/current"
camerno01,702070,Noah Cameron,Kansas City Royals,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/702070/headshot/67/current"
